Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Ballantine XXX Ale,Blonde Ale - American,Pabst Brewing Company,Pabst Brewing Company Ballantine XXX Ale,Notes:,4.85,15,25,18,41,4,33,27,16,2,14,64,3,51,2.817308,3.125,3.108974,3.108974,3.38141,156
Molson Export,Blonde Ale - American,Molson Coors Canada,Molson Coors Canada Molson Export,"Notes:With over 100 years of brewing tradition behind it, Molson Export continues to grow in lore. Its history, however, could never be as rich without the original, high-quality ingredients that have come to distinguish it from other brands.We brew Molson Export with two-row barley, an exclusive strain of ale yeast that goes back to the origins of Molson Breweries, hand-selected Golding and Oregon hops and water.\t",5.0,15,25,19,31,6,33,30,25,0,18,39,2,43,2.75,3.117021,3.132979,3.159574,3.398936,94
Lonely Blonde,Blonde Ale - American,Fulton Beer,Fulton Beer Lonely Blonde,"Notes:The Lonely Blonde wears a delicate fragrance of German noble hops, and slips a touch of white wheat between American pale and crystal malts for a smooth, sensuous body, fair complexion, and a pleasantly lacy white head. Crisp carbonation slinks the Lonely Blonde quickly away, and you’re left with nothing but a slight lingering sweetness as you contemplate how The Lonely Blonde can be so beautiful on so many levels.\t",4.8,15,25,26,32,19,32,45,35,4,41,50,4,92,3.3,3.4,3.466667,3.4,3.5,15
Summer Blonde Ale,Blonde Ale - American,River Horse Brewing Co.,River Horse Brewing Co. River Horse Summer Blonde,"Notes:A light, refreshing Ale that is easy to drink yet complex. Perfect for the warmer months.\t",4.5,15,25,15,23,5,17,21,32,0,34,27,3,44,3.027778,3.194444,3.12037,3.12037,3.388889,54
Knockout Blonde,Blonde Ale - American,Lawson's Finest Liquids,Lawson's Finest Liquids Knockout Blonde,Notes:Our blonde ale packs a zippy punch of hop aroma! This brew features a flavorful blend of North American malts and is fully loaded with Cascade and Centennial hops.\t,5.0,15,25,28,35,16,102,30,64,5,76,148,9,62,3.956522,4.195652,4.130435,4.195652,4.347826,23
Blonde Ale,Blonde Ale - American,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company Thomas Hooker Blonde Ale,Notes:Smooth flavor with a subtle malt sweetness accented with the delicate aroma of Czech hops. This brilliant gold ale is a mellow but flavorful microbrew.11 IBU\t,4.6,15,25,19,33,3,36,22,35,1,27,54,3,60,3.399254,3.473881,3.61194,3.55597,3.876866,134
Bare Ass Blonde Ale,Blonde Ale - American,DuClaw Brewing Company,DuClaw Brewing Company Bare Ass Blonde Ale,"Notes:Our smoothly drinkable little blonde bombshell will turn your head with its smooth, light malt flavor, mild hop character, 5% ABV, and crisp, refreshing, fruity finish.Style: Blonde AleColor: GoldenHop Variety: Fuggle, GoldingsGrains: Pale Malt, Wheat Malt, Carapils MaltPlato: 12.5IBU: 19\t",5.0,15,25,25,30,6,27,32,24,3,24,39,0,66,3.366667,3.566667,3.566667,3.733333,3.8,15
NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA),Blonde Ale - American,New Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA) NOLA Blonde Ale,"Notes:A great introductory craft beer, NOLA Blonde is a medium-bodied traditional American blonde ale - golden in color with floral and citrus hop aromas.\t",4.9,15,25,10,24,7,36,49,52,2,44,52,3,66,3.770833,3.9375,3.895833,3.791667,4.083333,24
Alamo Golden Ale,Blonde Ale - American,Alamo Beer Co.,Alamo Beer Co. Alamo Golden Ale,Notes:,5.1,15,25,21,21,9,29,18,5,1,5,44,4,50,3.321429,3.357143,3.535714,3.535714,3.690476,42
Golden Ale,Blonde Ale - American,Mayflower Brewing Company,Mayflower Brewing Company Mayflower Golden Ale,Notes:,4.7,15,25,32,34,9,29,26,17,3,17,46,7,48,3.379032,3.612903,3.620968,3.653226,3.991935,62
Leffe Blonde,Blonde Ale - Belgian,Abbaye de Leffe S.A.,Abbaye de Leffe S.A. Leffe Blonde,Notes:,6.6,15,30,14,23,12,13,34,11,0,28,16,22,32,3.575379,3.790812,3.586084,3.570919,3.64273,1121
Affligem Blond,Blonde Ale - Belgian,Brouwerij De Smedt / Brouwerij Affligem,Brouwerij De Smedt / Brouwerij Affligem Affligem Blond,Notes:Affligem beers originate from the Belgian abbey founded in 1074. The citrus and tropical fruit notes followed by a malty softness and hoppy character combine to make Affligem Blonde a beautifully smooth beer with a lightly bitter finish.\t,6.8,15,30,19,28,12,20,47,36,0,38,25,17,41,3.80837,4.015419,3.848018,3.889868,3.943833,454
Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Blonde Ale - Belgian,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren Blonde,Notes:(Green Cap)\t,5.8,15,30,33,46,10,44,40,55,0,70,57,32,46,4.161111,4.218056,4.245833,4.227778,4.372222,360
Devotion,Blonde Ale - Belgian,The Lost Abbey,The Lost Abbey Devotion Ale,"Notes:Belgian Style dry hopped Blonde Ale. It’s an unassuming road leading to the priory. Here, off the corner of two intersecting roads, dedicated monks have been making beer for over 150 years. It’s always been a simple life — the kind that requires they brew only enough to sustain the activities of their monastery. In the silence of passing seasons, they pray, they brew and retire in solitary existence behind the sheltering walls. They live a most interesting life. Most likely one we couldn't sustain.Nearby, each summer, the trellised fields spring to life as rows of resinous green cones are trained toward the heavens. Rumor is some monks love these hops and being surrounded by budding yellow aromas and the leafy pungent fields inspired them. Since we aren't sensible enough to locate our brewery near hop fields, we can only offer this blond ale in celebration of our Abbey brethren and their steadfast Devotion.\t",6.0,15,30,31,33,10,74,45,49,4,72,112,38,63,3.822134,3.970356,3.816206,3.875494,3.964427,253
Grimbergen Blonde,Blonde Ale - Belgian,Brouwerij Alken-Maes,Brouwerij Alken-Maes Grimbergen Blonde,"Notes:The high quality raw materials make up the richness of this top-fermented beer, which is characterized by its ocher blonde color.Grimbergen Blonde is light fruity and balanced sweet-bitter. Due to its rounded flavor, this beer is highly appreciated.\t",6.7,15,30,11,31,16,19,63,57,2,45,22,25,45,3.630584,3.843643,3.680412,3.726804,3.812715,291
Maredsous 6 - Blonde,Blonde Ale - Belgian,Brouwerij Duvel Moortgat NV,Brouwerij Duvel Moortgat NV Maredsous 6 - Blonde,Notes:,6.0,15,30,13,38,12,24,66,41,0,54,45,16,66,3.739521,4.071856,3.772455,3.775449,3.892216,167
Saxo,Blonde Ale - Belgian,Brasserie Caracole,Brasserie Caracole Saxo,Notes:,8.0,15,30,17,37,26,24,92,76,3,96,61,24,61,3.933649,3.92654,3.907583,3.924171,4.004739,211
La Trappe Blond (Koningshoeven / Dominus),Blonde Ale - Belgian,Bierbrouwerij De Koningshoeven B.V.,Bierbrouwerij De Koningshoeven B.V. La Trappe Blond (Koningshoeven / Dominus),"Notes:This scintillating golden ale boasts a rich, fruity, and fresh aroma. And a light malty and sweet taste. It has a soft bitterness with a friendly aftertaste. A well-balanced blend of complexity and simplicity. La Trappe Blond continues to ferment in the bottle.\t",6.5,15,30,23,53,28,28,61,45,0,52,36,25,45,3.672662,3.820144,3.683453,3.669065,3.76259,139
Augustijn Blond,Blonde Ale - Belgian,Brouwerij Van Steenberge N.V.,Brouwerij Van Steenberge N.V. Augustijn Blond,Notes:,7.5,15,30,22,31,28,20,71,40,3,64,28,29,42,3.604167,4.03125,3.645833,3.53125,3.6875,48
Kasteel Blond,Blonde Ale - Belgian,Brouwerij Van Honsebrouck N.V.,Brouwerij Van Honsebrouck N.V. Kasteel Blond,Notes:,7.0,15,30,16,29,21,20,50,30,0,42,32,15,42,3.813333,3.92,3.95,3.95,3.876667,150
Blond,Blonde Ale - Belgian,Brasserie de l'Abbaye du Val-Dieu,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Blond,Notes:,6.0,15,30,33,35,22,28,82,59,0,63,61,33,56,3.771277,3.941489,3.840426,3.856383,3.984043,94
St. Feuillien Blonde,Blonde Ale - Belgian,Brasserie St. Feuillien,Brasserie St. Feuillien St. Feuillien Blonde,Notes:,7.5,15,30,29,38,20,39,78,65,0,77,63,32,35,3.829787,3.904255,3.723404,3.904255,3.93617,47
Bink Blond,Blonde Ale - Belgian,Brouwerij Kerkom,Brouwerij Kerkom Bink Blond,Notes:,5.5,15,30,19,46,16,53,73,69,1,57,85,35,67,3.810127,3.835443,3.708861,3.727848,3.816456,79
Blond,Blonde Ale - Belgian,Brouwerij Hof Ten Dormaal,Brouwerij Hof Ten Dormaal Blond,Notes:,8.0,15,30,31,52,24,23,79,103,0,85,63,48,71,3.986486,3.986486,3.959459,4.148649,3.945946,37
Tongerlo Blond,Blonde Ale - Belgian,Brouwerij Haacht NV,Brouwerij Haacht NV Tongerlo 6 Dubbel Blond,Notes:Formerly known as Tongerlo 6 Dubbel Blond\t,6.0,15,30,15,38,16,27,75,44,5,43,37,34,62,3.5,3.7,3.3,3.3,3.433333,15
Southside Blonde,Blonde Ale - Belgian,Perennial Artisan Ales,Perennial Artisan Ales Southside Blonde,Notes:Southside Blonde is a sessionable Belgian-Style Blonde Ale that is light-bodied and dry with a hint of fruitiness from the yeast. Southside is a friendly pairing with a variety of foods and an approachable choice for all types of beer drinkers.\t,5.5,15,30,21,27,9,19,41,49,1,60,39,25,40,3.75,3.833333,3.666667,3.75,3.833333,6
Belgian Blonde,Blonde Ale - Belgian,BottleTree Beer Co.,BottleTree Beer Co. BottleTree Belgian Blonde,Notes:,5.0,15,30,21,32,10,30,54,50,3,59,45,22,62,3.604167,3.6875,3.541667,3.5,3.708333,24
La Binchoise Blonde TraditionBrasserie La Binchoise (Malterie des Remparts),Blonde Ale - Belgian,Brasserie La Binchoise (Malterie des Remparts),Brasserie La Binchoise (Malterie des Remparts) La Binchoise Blonde Tradition,Notes:,6.5,15,30,16,43,19,27,82,65,0,79,44,29,39,3.72807,3.842105,3.842105,3.885965,4.0,57
Brunehaut Blonde,Blonde Ale - Belgian,Brasserie De Brunehaut,Brasserie De Brunehaut Brunehaut Blonde,Notes:,6.5,15,30,23,47,15,24,62,47,5,56,54,24,62,3.388889,3.388889,3.444444,3.388889,3.555556,9
Steenbrugge Blond,Blonde Ale - Belgian,Brouwerij Palm NV,Brouwerij Palm NV Steenbrugge Blond,Notes:,6.5,15,30,18,38,21,28,81,64,0,66,49,35,66,3.605263,3.710526,3.631579,3.578947,3.552632,19
Abbaye De Floreffe Blonde,Blonde Ale - Belgian,Brasserie Lefèbvre SA,Brasserie Lefèbvre SA Abbaye De Floreffe Blonde,Notes:,6.3,15,30,17,25,15,33,76,44,3,49,55,30,65,3.588235,3.735294,3.588235,3.735294,3.823529,17
La Gauloise Blonde,Blonde Ale - Belgian,Brasserie Du Bocq,Brasserie Du Bocq La Gauloise Blonde,Notes:,6.3,15,30,27,35,20,27,54,54,4,54,33,34,57,3.5,3.619048,3.428571,3.47619,3.714286,21
Valeir Blond,Blonde Ale - Belgian,Brouwerij Contreras,Brouwerij Contreras Valeir Blond,Notes:,6.5,15,30,22,34,10,37,89,76,1,71,52,26,72,3.875,3.875,3.825,3.925,3.975,20
Celestial Blonde Ale,Blonde Ale - Belgian,Old Forge Brewing Company,Old Forge Brewing Company Celestial Blond Ale,Notes:,7.0,15,30,13,21,13,17,39,27,0,35,25,16,29,3.625,3.75,3.5,3.75,3.75,4
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,Brouwerij Smisje 't Smisje Blond,Notes:,6.0,15,30,11,34,14,21,31,82,0,79,43,15,22,3.260417,3.572917,3.260417,3.083333,3.03125,48
De Koninck Blond,Blonde Ale - Belgian,Brouwerij De Koninck NV,Brouwerij De Koninck NV De Koninck Blond,Notes:,6.0,15,30,21,42,20,24,64,54,0,50,41,16,39,3.4625,3.4625,3.5125,3.5125,3.6125,40
Wendelinus Blonde,Blonde Ale - Belgian,Brasserie Meteor,Brasserie Meteor Wendelinus,"Notes:Another idea from the abbey...Brewed in the tradition of the monks of Wissembourg, who had their beer made on the current site of the brewery, Wendelinus is the result of a centuries-old know-how. Beneath its amber colour and creamy head is an abbey beer with a range of flavours that mature on the palate with every mouthful. Strong, with a pleasant touch of bitterness, this is a beer to be savoured for its persistent mellowness and caramelized fruity flavours. Take your time with it!\t",6.8,15,30,16,40,19,26,94,44,0,52,41,36,71,3.7,3.533333,3.433333,3.466667,3.466667,15
Ename Blond,Blonde Ale - Belgian,Brouwerij Roman N.V.,Brouwerij Roman N.V. Ename Blond,Notes:,6.5,15,30,12,11,6,9,13,16,0,11,12,2,7,3.3,3.7,3.1,3.1,3.1,5
St. Idesbald Blond,Blonde Ale - Belgian,Brouwerij Huyghe,Brouwerij Huyghe St. Idesbald Blond,Notes:,6.0,15,30,20,24,10,21,28,34,0,30,29,14,30,3.1875,3.53125,3.28125,3.25,3.3125,16
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Blonde Ale - Belgian,Brasserie Val De Sambre,Brasserie Val De Sambre Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Notes:,6.0,15,30,22,44,7,28,60,46,0,45,38,28,31,3.558824,3.558824,3.529412,3.558824,3.558824,17
Viven Blond,Blonde Ale - Belgian,Brouwerij Van Viven,Brouwerij Van Viven Viven Blond,Notes:,6.1,15,30,14,27,9,21,51,41,3,57,44,19,28,3.875,3.5,3.75,3.875,3.875,4
Summer Belgian-Style Blonde Ale,Blonde Ale - Belgian,Choc Beer Co. / Pete's Place,Choc Beer Co. / Pete's Place Belgian-Style Blonde Ale,Notes:26 IBU\t,5.5,15,30,32,34,10,25,51,58,0,72,32,43,61,3.529412,3.352941,3.735294,3.705882,3.764706,17
Pater Lieven Blond,Blonde Ale - Belgian,Brouwerij Van den Bossche,Brouwerij Van den Bossche Pater Lieven Blond,Notes:,6.5,15,30,10,18,4,13,27,21,0,21,20,8,16,3.3125,3.6875,3.4375,3.5625,3.5,8
Troegenator,Bock - Doppelbock,Tröegs Brewing Company,Tröegs Brewing Company Troegenator Double Bock,"Notes:Monks had fasting figured out. No food? No problem. Just drink a Double Bock. Thick and chewy with intense notes of caramel, chocolate and dried stone fruit, ‘Nator (as we call him) serves as a tribute to this liquid bread style.\t",8.2,17,27,11,63,17,16,117,25,0,38,15,10,93,3.77074,3.878363,3.847534,3.921525,3.904709,892
Spaten Optimator,Bock - Doppelbock,Spaten-Franziskaner-Bräu,Spaten-Franziskaner-Bräu Spaten Optimator,Notes:,7.6,17,27,9,43,16,23,93,15,1,42,21,9,111,3.781427,3.922547,3.871452,3.971614,3.894566,1233
Salvator,Bock - Doppelbock,Paulaner Brauerei GmbH & Co. KG,Paulaner Brauerei GmbH & Co. KG Salvator Doppel Bock,"Notes:This unfiltered bottom fermented double bock beer has been brewed for over 375 years--always adhering to the original recipe. The taste is unmistakable, with its smooth chocolate flavor, robust dark caramel maltiness and a light note of hops--providing a nice intensity on the palate.\t",7.9,17,27,10,31,19,21,75,17,1,24,20,4,86,3.885025,3.904255,3.892799,3.979951,3.888707,1222
Korbinian,Bock - Doppelbock,Bayerische Staatsbrauerei Weihenstephan,Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Korbinian,"Notes:Our Korbinian, the full-bodied, dark Doppelbock with light brown foam, wins beer-lovers over with a balance of fruity hints of plums and figs, a dark malt aroma - reminiscent of toffee, nuts and chocolate. Its roasted flavour goes well with smoked meat and fish as well as venison and poultry. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill.\t",7.4,17,27,14,72,11,30,92,20,0,50,11,13,127,4.100845,4.147835,4.162619,4.268743,4.170539,947
Samichlaus Classic Bier,Bock - Doppelbock,Brauerei Schloss Eggenberg,Brauerei Schloss Eggenberg Samichlaus Bier,"Notes:The once strongest beer in the world is back! Brewed only once a year on December 6. Samichlaus is aged for 10 months before bottling. This beer is perhaps the rarest in the world. Samichlaus may be aged for many years to come. Older vintages become more complex with a creamy warming finish. Serve with hardy robust dishes and desserts, particulary with chocolates, or as an after dinner drink by itself. Brewed under the exclusive licence of Feldschlösschen-Hürlimann-Holding, Switzerland.\t",14.0,17,27,6,52,57,16,138,18,0,58,14,10,104,4.022234,3.876356,3.962581,4.062907,3.651302,922
Samuel Adams Double Bock (Imperial Series)Boston Beer Company (Samuel Adams),Bock - Doppelbock,Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Double Bock (Imperial Series),Notes:,9.5,17,27,4,30,37,22,87,25,1,38,15,15,92,3.893727,3.998596,3.989232,4.0,3.823502,1068
Andechser Doppelbock Dunkel,Bock - Doppelbock,Klosterbrauerei Andechs,Klosterbrauerei Andechs Andechser Doppelbock Dunkel,"Notes:This world famous bock from Bavaria’s Holy Mountain is not meant to be rushed, but savoured slowly. As solid as a rock, Andechser Doppelbock Dunkel presides over the evening meal with a colour reminiscent of dark copper with nuances of fiery red. Its clear gleaming look harmonises with its firm, fine pored head.Also the aroma delights the connoisseur: soft roasted accents and a nuance of dried fruit carrying a vein of caramel. This Doppelbock Dunkel from Bavaria’s Holy Mountain presents a pleasant effervescence. And then there’s the unmistakable flavour: mouthcoating and velvety, strong and yet pleasantly malty – a powerful, robust body. At the same time, it develops an easily recognisable sweetness, embraced in roasted cocoa and a light, bitter hoppiness.Concluding with a powerful punch, this Doppelbock departs with a lingering aftertaste of quality plain chocolate. A strong Doppelbock that embodies the centuries old Benedictine brewing tradition, sip by delicious sip.\t",7.1,17,27,7,71,20,31,100,21,1,55,31,7,140,4.254355,4.275261,4.362369,4.43554,4.432056,287
Perkulator Coffee Dopplebock,Bock - Doppelbock,Dark Horse Brewing Company,Dark Horse Brewing Company Dark Horse Perkulator Coffee Dopplebock,Notes:,7.0,17,27,5,62,19,124,54,6,1,8,23,19,192,3.809384,3.633431,3.718475,3.807918,3.705279,341
EKU 28,Bock - Doppelbock,Kulmbacher Brauerei AG,Kulmbacher Brauerei AG EKU 28,"Notes:A super-strong Bock, but not an Eisbock.\t",11.0,17,27,10,44,65,26,107,25,2,43,21,9,78,3.905213,3.735782,3.886256,3.925355,3.616114,422
Liberator Doppelbock,Bock - Doppelbock,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company Thomas Hooker Liberator Doppelbock,"Notes:Hopped with German and Czech hops and fermented with Bavarian lager yeast, this traditional doppelbock blends an extensive amount of select dark malts to achieve its rich and creamy character. Rich and filling, this brew is a malt lovers dream.24 IBU\t",8.5,17,27,5,63,40,53,98,23,0,45,40,9,114,4.139376,4.236842,4.260234,4.29922,4.230019,513
Smuttynose S'muttonator (Heritage Series),Bock - Doppelbock,Smuttynose Brewing Company,Smuttynose Brewing Company Smuttynose S'muttonator (Big Beer Series),"Notes:Formerly Smuttynose S'muttonator (Big Beer Series)S’Muttonator Double Bock displays the characteristically full malt flavor that can only come from using the best German specialty malts, and a traditional decoction mashing technique. The extra effort also adds a lot of extra time to each batch, but that’s the only way to get the nuttiness, toffee notes and smooth character beer drinkers expect from a double bock. 2007 - 9.8%2008 - 8.8%2010 - 9.5%\t",8.2,17,27,13,62,36,25,93,17,0,37,36,16,100,3.931287,4.074561,4.046784,4.087719,3.96345,342
Butthead Doppelbock,Bock - Doppelbock,Tommyknocker Brewery,Tommyknocker Brewery Butthead Doppelbock,Notes:,8.2,17,27,12,69,47,26,115,51,2,52,30,5,119,3.592896,3.612022,3.598361,3.657104,3.580601,366
Autumnal Fire,Bock - Doppelbock,Capital Brewery,Capital Brewery Autumnal Fire,"Notes:With a deep copper hue and rich malty flavor this renowned doppelbock warms like burning embers of a mid-autumn fire as the nights grow cooler. You may be tempted to share, but keep this Fire for yourself. It’s that good!\t",7.8,17,27,7,72,31,32,118,30,0,52,28,11,158,3.988994,4.031447,4.051887,4.127358,4.144654,318
Weltenburger Kloster Asam-Bock,Bock - Doppelbock,Klosterbrauerei Weltenburg,Klosterbrauerei Weltenburg Weltenburger Kloster Asam-Bock,"Notes:The Weltenburger Asam Bock owes its name to the ingenious, baroque painter and master builder Cosmas Damian Asam. The malt-stressed goat exudes light roasted aromas that give a hint of coffee. Friends and connoisseurs appreciate it especially for its strong-sweet, very aromatic and persistent taste until the finish. With its 6.9% alcohol content, it is the strongest beer from the Weltenburger family.\t",6.9,17,27,6,67,22,30,102,11,1,42,18,9,148,4.024715,4.098859,4.057034,4.161597,4.091255,263
Wasatch The Devastator Double Bock,Bock - Doppelbock,Utah Brewers Cooperative,Utah Brewers Cooperative Wasatch Devastator Double Bock,"Notes:If you're going to sin, sin big. With 8% alc/vol and a creamy richness, this brew has developed a serious cult following. Imagine that - a cult following in Utah?!\t",8.0,17,27,7,53,21,19,120,28,4,56,27,13,123,3.5,3.664384,3.568493,3.678082,3.643836,73
St. Victorious,Bock - Doppelbock,Victory Brewing Company,Victory Brewing Company St. Victorious,Notes:Limited seasonal draft only release. Doppelbock brewed w/ smoked 2-row German malt from Bamberg.\t,7.6,17,27,8,70,11,30,100,28,0,43,30,22,135,3.924603,3.921958,4.021164,4.12037,4.039683,378
Urbock 23°,Bock - Doppelbock,Brauerei Schloss Eggenberg,Brauerei Schloss Eggenberg Urbock 23°,Notes:,9.6,17,27,8,54,49,15,97,18,0,25,19,4,75,3.586957,3.461957,3.612319,3.612319,3.389493,276
Voodoovator,Bock - Doppelbock,Atwater Block Brewery,Atwater Block Brewery Atwater Voodoovator,Notes:,9.5,17,27,15,89,25,62,127,18,2,60,48,4,165,3.404494,3.752809,3.373596,3.292135,3.407303,178
Saxonator Dunkles Doppelbock,Bock - Doppelbock,Jack's Abby Brewing,Jack's Abby Brewing Saxonator Dunkles Doppelbock,"Notes:A dark strong interpretation of a double bock. Full bodied with a raisiny, dark fruit, slightly roasted and chewy malt character. Lagered for two months, a smooth malt character balances the high ABV of this strong beer.25 IBU\t",8.5,17,27,10,106,31,33,121,27,0,72,27,21,144,4.166667,3.833333,4.666667,4.5,4.333333,3
Doppel-Hirsch,Bock - Doppelbock,Der HirschBrau/Privatbrauerei Höss,Der HirschBrau/Privatbrauerei Höss Doppel-Hirsch,Notes:,7.2,17,27,8,46,18,35,112,22,0,54,29,7,105,3.747596,3.677885,3.65625,3.829327,3.766827,208
Josephs Brau Winter Brew,Bock - Doppelbock,Trader Joe's Brewing Company,Trader Joe's Brewing Company Josephs Brau Winterfest,Notes:Also known as Josephs Brau Winterfest\t,7.5,17,27,11,44,21,30,75,15,1,25,29,28,85,3.526627,3.686391,3.491124,3.553254,3.62426,169
Duck-Rabbator,Bock - Doppelbock,The Duck-Rabbit Craft Brewery,The Duck-Rabbit Craft Brewery Duck-Rabbit Duck-Rabbator,"Notes:The Duck-Rabbator Dopplebock is a powerfully malty German-style lager. The malty / grainy flavors so dominate this beer, it's like a whole loaf of bread in every glass! Is it a beverage or is it a meal? It's both.\t",8.5,17,27,13,64,20,26,116,27,0,44,29,15,127,4.085227,3.903409,3.886364,4.170455,3.971591,88
Ettaler Curator Dunkler Doppelbock (US Import Version),Bock - Doppelbock,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH Ettaler Curator Doppelbock (US Import Version),Notes:,9.0,17,27,18,62,23,20,130,28,0,74,3,6,126,3.966867,3.822289,3.927711,3.945783,3.891566,166
Blonde Doppelbock,Bock - Doppelbock,Capital Brewery,Capital Brewery Blonde Doppelbock,Notes:,7.8,17,27,7,77,58,31,109,39,0,46,36,10,123,3.682292,3.760417,3.898438,3.90625,3.895833,192
Doppelbock Dunkel,Bock - Doppelbock,Brauerei Schloss Eggenberg,Brauerei Schloss Eggenberg Doppelbock Dunkel,Notes:,8.5,17,27,9,49,42,50,89,17,0,34,39,17,104,3.632479,3.803419,3.666667,3.709402,3.713675,117
Tucher Bajuvator Doppelbock,Bock - Doppelbock,Brauerei Tucher Brau,Brauerei Tucher Brau Tucher Bajuvator Doppelbock,Notes:,7.2,17,27,15,87,37,58,152,42,0,72,47,8,172,4.057377,4.032787,4.092896,4.169399,4.144809,183
Dark Heathen Triple Bock,Bock - Doppelbock,Kuhnhenn Brewing Company,Kuhnhenn Brewing Company Kuhnhenn Dark Heathen Triple Bock,"Notes:This Triple Bock is dark brown with ruby highlights. It is extremely rich and complex, with flavors of raisin, plum. There is a slight heat from alcohol and has low carbonation. It is full bodied, malty and sweet– you big beer lovers should try this beer.\t",12.5,17,27,6,100,69,32,216,43,0,124,13,16,157,4.108696,3.76087,4.086957,4.065217,3.869565,23
Winter Bock,Bock - Doppelbock,Gordon Biersch Brewery Restaurant,Gordon Biersch Brewery Restaurant Gordon Biersch Winter Bock,"Notes:In the 11th century, Belgian monks sustained themselves during winter fasts with beers made from strong, dark flavored malts. These creamy books ensured that the monks would fast frequently.\t",7.5,17,27,5,59,14,18,91,10,0,20,14,16,113,3.657143,3.838095,3.752381,3.72381,3.747619,105
Deep Water Dopplebock,Bock - Doppelbock,Thomas Creek Brewery,Thomas Creek Brewery Deep Water Dopplebock,Notes:30 IBU\t,7.0,17,27,9,57,17,35,69,11,0,20,23,8,116,3.38764,3.764045,3.247191,3.252809,3.376404,89
Doppelbock Grande Cuvée Printemps,Bock - Doppelbock,Les Trois Mousquetaires,Les Trois Mousquetaires Doppelbock Grande Cuvée Printemps,"Notes:Full-bodied, Bavarian-style lager with a complex malt character suggesting flavors of fresh-baked bread, molasses, chocolate, plums, and oranges. This style was originally created by monks for Lenten fasting and called ""liquid bread"".\t",8.6,17,27,11,77,38,34,154,37,0,87,28,19,129,4.092308,4.1,4.092308,4.207692,4.061538,65
Lobotomy Bock,Bock - Doppelbock,Indian Wells Brewing Company,Indian Wells Brewing Company Lobotomy Bock,"Notes:This is a classic German Dopple Bock. Like all of our beers it is made in strict accordance to the German Reinheitsgebot Purity Law of Brewing, which is water, malt, hops and yeast only! Lobotomy Bock is made from five types of specialty malted barley including Munich, black patent and other premium malts. And finished with two types of hops, Sterling and Perle added at the boil and again at the finish for the perfect flavor balance. Lobotomy Bock is brewed with pure artesian spring water from the historic Indian Wells Spring. Lobotomy Bock is lagered for several weeks then finished to exacting standards.\t",10.5,17,27,6,55,31,21,58,9,1,17,16,5,78,3.125,3.357955,2.875,2.926136,3.153409,88
Primátor Double Bock Beer,Bock - Doppelbock,Pivovar Náchod a.s.,Pivovar Náchod a.s. Primátor Double Bock Beer,Notes:,10.5,17,27,10,43,35,29,136,26,0,54,23,7,76,3.697368,3.848684,3.388158,3.447368,3.157895,76
Icelandic DoppelbockEinstök Ölgerð (Einstök Beer Company),Bock - Doppelbock,Einstök Ölgerð,Einstök Ölgerð Icelandic Doppelbock,"Notes:The 2015 version of this limited-edition seasonal is only available through the holiday season, but this winter celebration brew is worth the wait. Malted barley and chocolate tones define the traditional style, while the robust aroma and long, mellow finish make this the perfect companion for holiday adventures. Get it while you can.Munich malt, pilsner malt, crystal malt, chocolate malt, bavarian hops.\t",6.7,17,27,18,96,29,49,131,16,0,42,55,7,187,4.0,3.5,3.5,3.5,3.5,1
Dopple Bock,Bock - Doppelbock,Sprecher Brewing Company,Sprecher Brewing Company Dopple Bock,Notes:,7.85,17,27,6,42,27,24,83,23,0,37,25,15,83,3.75,3.896226,3.886792,3.938679,3.966981,106
St. Nikolaus Bock Bier - Brewer's Reserve,Bock - Doppelbock,Pennsylvania Brewing Company,Pennsylvania Brewing Company St. Nikolaus Bock Bier - Brewer's Reserve,Notes:,8.5,17,27,19,82,25,32,130,31,0,61,27,26,130,4.071429,4.184524,4.220238,4.255952,4.291667,84
